model_type,data,norm,model,cv_acc,test_acc,test_f1,test_auc
DL,ae,msc,CNN,0.9583333333333334,0.9666666666666668,0.9629515282494596,0.99778125
DL,gan,msc,CNN,0.9616666666666668,0.9583333333333334,0.9529575362908695,0.99659375
DL,raw,msc,CNN,0.9166666666666666,0.9416666666666668,0.9311866714967488,0.98765625
DL,ae,none,CNN,0.9416666666666668,0.85,0.8338617294558812,0.958703125
DL,gan,none,CNN,0.9541666666666666,0.8916666666666667,0.8819642151106648,0.97184375
DL,raw,none,CNN,0.8916666666666666,0.8916666666666667,0.8929784783443321,0.97290625
DL,ae,snv,CNN,0.9475,0.9416666666666668,0.9407172885831424,0.98915625
DL,gan,snv,CNN,0.9616666666666668,0.9583333333333334,0.9591693978040072,0.996078125
DL,raw,snv,CNN,0.9145833333333332,0.975,0.972817879794624,0.993953125
ML,ae,msc,KNN,0.8625,0.775,0.7639166244197652,0.84
ML,gan,msc,KNN,0.8858333333333333,0.8,0.7918428470754053,0.8590625000000001
ML,raw,msc,KNN,0.7125,0.8166666666666667,0.7935813509121781,0.9509609375
ML,ae,none,KNN,0.8133333333333332,0.6083333333333333,0.6080120334506299,0.7353125
ML,gan,none,KNN,0.8424999999999999,0.575,0.5787943696450428,0.7124999999999999
ML,raw,none,KNN,0.61875,0.5833333333333334,0.5493416604391304,0.8163437499999999
ML,ae,snv,KNN,0.86,0.7916666666666666,0.7805758436861511,0.8559375
ML,gan,snv,KNN,0.8858333333333333,0.8,0.7918428470754053,0.8590625000000001
ML,raw,snv,KNN,0.7166666666666666,0.7833333333333333,0.7553896915711261,0.8415625000000001
ML,ae,msc,RandomForest,0.8658333333333335,0.7916666666666666,0.7790502469898116,0.939421875
ML,gan,msc,RandomForest,0.875,0.7916666666666666,0.782221479749044,0.9428203125
ML,raw,msc,RandomForest,0.7229166666666667,0.825,0.8181128574153703,0.952609375
ML,ae,none,RandomForest,0.8433333333333334,0.7,0.6753819036427733,0.8907890625000001
ML,gan,none,RandomForest,0.8516666666666666,0.6083333333333333,0.5990218115218116,0.84328125
ML,raw,none,RandomForest,0.6479166666666667,0.6416666666666667,0.6384794589613867,0.86109375
ML,ae,snv,RandomForest,0.8699999999999999,0.8,0.78125,0.9439375
ML,gan,snv,RandomForest,0.875,0.8,0.7837301587301586,0.9450546875
ML,raw,snv,RandomForest,0.7229166666666667,0.8083333333333333,0.8017883063064806,0.943234375
ML,ae,msc,SVM,0.9108333333333332,0.825,0.820149760817569,0.969953125
ML,gan,msc,SVM,0.945,0.8916666666666667,0.885503155290997,0.98440625
ML,raw,msc,SVM,0.89375,0.8916666666666667,0.8878440785922519,0.989078125
ML,ae,none,SVM,0.8891666666666668,0.8333333333333334,0.8221334586466165,0.9599375
ML,gan,none,SVM,0.9425,0.8416666666666667,0.8317068452727368,0.964421875
ML,raw,none,SVM,0.8583333333333334,0.8,0.7905590717299578,0.972671875
ML,ae,snv,SVM,0.9066666666666666,0.7583333333333333,0.7517626225187382,0.96175
ML,gan,snv,SVM,0.9375,0.8833333333333333,0.8746404002501564,0.980328125
ML,raw,snv,SVM,0.8875,0.925,0.9179967429783444,0.9851875
ML,ae,msc,XGBoost,0.8891666666666668,0.8166666666666667,0.8106720392938436,0.974734375
ML,gan,msc,XGBoost,0.8975,0.85,0.8386681782060472,0.96196875
ML,raw,msc,XGBoost,0.7520833333333333,0.8416666666666667,0.8329028611014356,0.96790625
ML,ae,none,XGBoost,0.8483333333333334,0.675,0.6705712451861361,0.88375
ML,gan,none,XGBoost,0.8566666666666667,0.6333333333333333,0.5964080723892013,0.857703125
ML,raw,none,XGBoost,0.675,0.6,0.5921046269883479,0.86390625
ML,ae,snv,XGBoost,0.8833333333333334,0.85,0.8375165437700889,0.9738125
ML,gan,snv,XGBoost,0.9025,0.825,0.8118956930859152,0.971109375
ML,raw,snv,XGBoost,0.7562500000000001,0.8083333333333333,0.7967948717948719,0.965796875
